,,rx5 ALA,rx5 CAN,rx5 CEA,rx5 CWP,rx5 NEA,rx5 NEF,rx5 NPL,rx5 NWP,rx5 SEA,rx5 SPL,rx5 SWP,rx5 USA,rx5 USC
1991,1,1.61,-0.27,0.17,-1.31,-0.67,-0.99,-1.02,0.69,1.42,-0.37,-1.14,0.01,-0.12
1991,2,1.95,1.34,0.01,2.38,-0.7,1.09,2,-0.29,1.83,0.48,1.27,2.33,2.4
1991,3,-0.49,0.69,-0.41,0.05,0.37,-1.14,0.54,1.14,0.42,0.31,0.68,0.02,0.5
1991,4,-0.38,1.08,-0.27,-0.2,-0.1,0.17,0.45,1.4,-0.72,1.12,0.04,0.56,0.83
1992,1,1.13,0.48,-0.82,-0.87,-1.26,-1.12,0.05,1.78,0.17,3.95,0.56,1.47,1.6
1992,2,1.64,-0.23,-0.92,-1.55,-0.56,0.27,-1.09,0.23,-1.29,0.07,0.39,-0.89,-0.85
1992,3,-0.18,-0.8,0.45,0.63,1.23,1.32,-1.46,-1.08,1.96,1.46,1.22,2.09,1.82
1992,4,0.17,0.06,-0.63,-0.05,-1.37,0.06,-0.35,1.27,0.57,-0.73,-0.57,-0.17,-0.15
1993,1,2.2,0.5,0.16,-0.67,-0.61,0.08,-1.47,0.23,-0.23,0.89,2.28,1.65,2.09
1993,2,-0.76,0.64,0.11,1.34,0.95,-0.24,-0.86,1.44,-0.9,0.58,0.1,-0.19,0.26
1993,3,-1.27,2.47,-1.07,2.35,-0.43,0.29,3,0.76,-1.19,1.64,0.07,0.96,2.66
1993,4,1.71,-1.21,0.05,-2.34,0.49,-0.46,-1.28,-0.44,0.66,-0.42,-0.51,-0.04,-0.25
1994,1,-0.83,0.28,1.49,-0.29,1.22,-0.41,0.09,0.25,0.57,-0.03,-0.77,-0.27,-0.07
1994,2,0.67,0.19,0.18,-0.53,1.51,-0.78,-0.54,1.35,0.06,0.14,-0.27,-0.08,0.06
1994,3,-0.15,-0.14,0.85,-1.7,-1.68,1.26,-0.19,-0.19,1.42,-1.38,-1.97,-0.48,-0.61
1994,4,0.28,-0.08,-0.69,0.83,0.48,0.1,-0.2,0.01,0.21,0.61,0.42,0.52,0.49
1995,1,-0.44,0.03,-0.37,0.64,0.12,1.21,-0.6,-0.51,-0.06,-0.01,0.75,0.28,0.37
1995,2,1.03,-1.11,-1.6,1.66,-0.08,-0.02,-1.16,-1.58,-0.31,2.29,2.57,1.81,1.26
1995,3,-0.3,0.38,-0.63,0.93,-1.63,-1.2,0.97,0.79,1.65,1.65,0.01,1.72,2.22
1995,4,-0.22,-0.35,1.11,0.31,-0.18,1.17,-0.58,-0.92,0.82,-0.63,-2.06,-0.6,-0.63
1996,1,0.25,1.81,0.34,2.28,0.57,2.7,0.82,0.79,-0.49,-1.3,0.44,0.15,0.99
1996,2,-0.26,1.23,0.72,1.7,-0.46,1.57,0.62,0.67,0.17,-1.56,-0.11,-0.01,0.42
